абсолютный,absolute
неприятный,unpleasant
неопрятный,untidy
городской,urban
срочный,urgent
использовать,use
тщетный,vain
стоимость,value
измениться,vary
обширный,vast
деревня,village
посещение,visit
голос,voice
пустота,void
ждать,wait
идти,walk
стена,wall
хочу,want
война,war
теплый,warm
предупредить,warn
осторожный,wary
просмотреть,watch
вода,water
путь,way
слабый,weak
богатый,wealthy
изнашивание,wear
утомленный,weary
среда,wednesday
неделя,week
добро пожаловать,welcome
хорошо,well
влажный,wet
белый,white
широкий,wide
жена,wife
дикий,wild
победа,win
окно,window
ветреный,windy
зима,winter
мудрый,wise
желание,wish
остроумный,witty
женщина,woman
удивление,wonder
слово,word
работа,work
число работы,work number
рабочий,worker
мир,world
беспокойство,worry
достойный,worthy
написать,write
неправильно,wrong
кривой,wry
год,year
желтый,yellow
молодой,young
ноль,zero
